filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled
002d83e0,f0a7f5f550ccb0133e9fb587a6e40a79bbdd74d9,bbee7976fab9472dc920b71fc457837edbee1cd1,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83e0_fe14aedf8aead9e025a71608da78f12d,11734e42bc7b1f4de92483c3d92c9d6204357096,61563ce9bd566edbda2701c41f6e28d8d1308a34,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83e1,ff3cf3757f16479313cd2a663dc9eb4dc7d3210d,4e329480ce289a0b231ba464d0c269411ab5fd96,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83e2,73533c8c3300c9b97a6afb28be2630997ec42294,07d7d386f48cdb5c23fa131413cfa8287e4a2cc7,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83e3,750bbc31731d0110c29b19dc7b63925f6cefac30,80b216b46b1d301c202f2e5b49aed3529de05637,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83e4,ec5ac08de242aaf3b6b9b6a8f27fcd2939a78d42,3de19417e774dd47688e827227678b01e12cb280,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002d83e5,ace575e4c9782f6bc0d72ec5b570d3ad9d83ab78,035ba99c84c58106f3f6a743cea2e50ed5b3a3d2,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e7dde,09aa1a671d5869057c27280d4ed780f380987739,6a789c06a37457d2084049cdd881b695de969b0c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e7ddf,b46e5719443c65f2180a1bfa0aa773ed8901eec8,004dfe858d3641f6fb63c6fadc1c144c682ee4fb,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e7de0,820ebed09551e9d0d5563a16d04b2403a4e8ed2d,d4ac73d038483f58a43a5952d213a430a62f9973,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e7de3,01a48c5c1817c5d7e4f4492551f8a65019c11d76,d73e62e8e299ebf7b2ef2812d43aa3e6fcc3899c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e7de4,cbc6f27d6c199a44f82b701f22fb8c721e9fd5ab,c0926654add681364d1a72ecb6c78ac2c0069afa,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e7de5,25b7acac2d00162c14d23a58cced2a28869b3a3c,40227768f35ec4ed6043912dab9a688f0e894f57,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002e8486,fb5792ac307ffbb33e21b9923afd39d95486ed4a,bfb93ab6de2063569c498edd5cde2624448b6334,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002eb6f9,73e23b597bc37c25fce4f6f6d87d93426a2a3059,6967f9e53c4cc9263d2d59d8458dcc45860bd94d,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f0bd0,adbffee2740b6e8f0aec88e673e3165d968c8e59,60ff489a9101408b223846872fe6e15450790eaf,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f1bd0,4870192b35647a4fd7326249961a611239104e61,1b6122d4989720c6dbb08009289fb7247faa50dc,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f2bd0,611c16bc3a3bbeb0488642bdb2eb29cadc827b84,214a43f980d8dcf382f1a55ba3920858f3d89c69,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f3bd0,3e96ba37c860840b46a7abe72cd7c72b90d999b5,d3c4f3ebc0c6ccea00ddc59b43a007ddf5897e3b,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f4bd0,ced8e6128335429d179d2e1a1f578c2a0ac9700b,7c0e494a7a5aa31390e7adb91f58995077c012bd,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f5bd0,1a62659c32244bc2e46534b0e3698ce3c7cadf72,3abc4d652a1c4c5e99b8bcb663575d377212368f,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f6bd0,b74d68049bec9f2a135b12172f57d58f3062c490,1b61000ef5e2af74517719271d38419c0289b677,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f7bd0,d9c1669d1ddb6bc9050c24888d3252fa76066721,80b8b398ff425fb905eb4e2af86f09eef6652700,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
002f8bd0,5b35fa47640802db4d07e5041b66b917b5375ede,c48637e1f2a9d3e263ea1b0ecca9d3bc067c951f,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00304ad1,3c51760f04538fb64d5250112a9525299586e8e7,b3ee0f3769a06b6dfc43c047a91699a078742527,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0030e529,ec9d28dfaff945e54a826ad2532eeb1442119039,1b702b0e8c4e8a929f8b41801b87cc532f4ea241,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0030f164,3969cd1ac9128cc3ab5b34d6ba9e67e557e49700,0fcd3d50f80ca802574f023d543ebd906aa8ead8,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0030fbd0,3dcd704e8f8c324058620b15bc620cb6e8e8e284,45242f969730e272737b540ee3283c641d316700,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00310ae2,4856189c6a2792e7de4be3c2019c26c6ddf1691c,18fbd53d9173fa1f37171c8f8538396474f87c37,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00310bd0,cfb3704ef0518210756453c2e6d945dbc2f7e9bb,d7334a1ae3d67726779aa0abe3f93e53f2e29699,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00311bd0,9480a8ab886b1692c5b9579be76fadd1f121677b,9fcfb5e49f760813d00cfeb30699e26ac12c23e7,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00312bd0,1a2190761d46bf279bf05d4a49c6dbbf51b713c0,2f337df4a854da33e522db75cb307da3e0ffa175,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00313bd0,5896d36cad8df215d8e87f6ab620c28736337a30,13140ab92f9d82385477620c124125deca73209e,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00314bd0,3cf4a96dc89c0f61f497035da2b534fd92b50f42,bf4e72a928b6763552305f8f0ccc64fb8c25fb08,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
003155d8,4d0255403ed1b5ae577372bbb886f2e9cbcfd98d,3200179234321d61020bebf47e2fbb5caa33931d,false,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true
